split,model,prediction_bin,mean_predicted,mean_actual,sample_count,calibration_error
oof,HistGradientBoosting,<2,1.1707496145725098,1.1996605374823197,17675,0.0289109229098099
oof,HistGradientBoosting,2-4,2.8074991786550028,2.9185489026209246,18772,0.11104972396592183
oof,HistGradientBoosting,4-6,4.595910022036996,4.385435168738899,2252,-0.21047485329809756
oof,HistGradientBoosting,6-8,6.800258383388282,6.5115384615384615,260,-0.28871992184982087
oof,HistGradientBoosting,8+,8.99113685496701,8.517241379310345,58,-0.4738954756566649
oof,Random Forest,<2,1.121101366952011,1.1480992132604648,16651,0.02699784630845392
oof,Random Forest,2-4,2.794599964018003,2.885312069304981,20316,0.09071210528697815
oof,Random Forest,4-6,4.60309970812405,4.723662437948152,1813,0.1205627298241021
oof,Random Forest,6-8,6.681033805065472,7.295918367346939,196,0.6148845622814667
oof,Random Forest,8+,8.687893991665238,7.926829268292683,41,-0.7610647233725549
oof,Ridge,<2,1.1305051682304978,1.1824235869998292,17569,0.05191841876933134
oof,Ridge,2-4,2.780642951285599,2.9204352085804155,19393,0.13979225729481648
oof,Ridge,4-6,4.621300909889669,5.012312633832977,1868,0.39101172394330774
oof,Ridge,6-8,6.590266791000249,6.597765363128492,179,0.007498572128242564
oof,Ridge,8+,8.73316310328527,12.5,8,3.7668368967147305
test,Ridge (position_specific),<2,1.17002278539552,1.309927797833935,5540,0.1399050124384149
test,Ridge (position_specific),2-4,2.8032000862294684,3.0788140643623363,6712,0.2756139781328679
test,Ridge (position_specific),4-6,4.585177412256849,4.734157650695518,647,0.1489802384386687
test,Ridge (position_specific),6-8,6.508429460820222,5.892307692307693,65,-0.6161217685125289
test,Ridge (position_specific),8+,9.573798615142923,11.0,1,1.4262013848570767
