split,model,mode,feature_set,mae,rmse,spearman,mean_actual,mean_predicted,sample_count,top_10_precision,top_10_recall,top_25_precision,top_25_recall,top_50_precision,top_50_recall,ndcg_10,ndcg_25,ndcg_50,ceiling_8_precision,ceiling_8_recall,ceiling_8_avg_prediction,ceiling_8_sample_count,ceiling_10_precision,ceiling_10_recall,ceiling_10_avg_prediction,ceiling_10_sample_count,ceiling_15_precision,ceiling_15_recall,ceiling_15_avg_prediction,ceiling_15_sample_count,average_top_pick_points,average_actual_maximum,average_regret,gameweek_count
validation,Ridge,global,feature_set_basic,1.9053169457170624,2.7825965048467443,0.2696105562169876,2.180818570555895,2.1583765240876853,13096,0.1648648648648648,0.1648648648648648,0.2259459459459459,0.2259459459459459,0.2886486486486486,0.2886486486486486,0.401353615846594,0.4180513172327242,0.4345938086034804,0.5,0.002262443438914,2.825557104244011,884,,0.0,3.0720080271218793,427,,0.0,3.63126950069686,90,6.594594594594595,17.89189189189189,11.297297297297296,37
validation,Ridge,global,feature_set_form,1.7771233487047329,2.655774025303193,0.4929463458358873,2.180818570555895,2.104229921887289,13096,0.1891891891891891,0.1891891891891891,0.228108108108108,0.228108108108108,0.312972972972973,0.312972972972973,0.4563252506338727,0.4666542930088953,0.489522956374593,0.6666666666666666,0.002262443438914,3.152255416610522,884,,0.0,3.3976768698937474,427,,0.0,4.066652054940972,90,8.486486486486486,17.89189189189189,9.405405405405403,37
validation,Ridge,global,feature_set_full_linear,1.7815565418268184,2.6656005924659967,0.4872369768451449,2.180818570555895,2.099997303408485,13096,0.1891891891891892,0.1891891891891892,0.2259459459459459,0.2259459459459459,0.3075675675675676,0.3075675675675676,0.4540074056291915,0.4612945707044718,0.4844021484112392,0.6666666666666666,0.002262443438914,3.11672161545249,884,,0.0,3.3451880066573456,427,,0.0,3.9763972033379344,90,8.486486486486486,17.89189189189189,9.405405405405403,37
validation,Random Forest,global,feature_set_basic,1.8905858292122064,2.784216574946667,0.2880506537063081,2.180818570555895,2.1419772078964283,13096,0.1648648648648648,0.1648648648648648,0.2054054054054054,0.2054054054054054,0.2778378378378379,0.2778378378378379,0.413041657046528,0.4123975450832418,0.4331045175752347,0.4,0.004524886877828,2.830716896831541,884,,0.0,3.088217622229671,427,,0.0,3.5760007297803655,90,8.135135135135135,17.89189189189189,9.756756756756756,37
validation,Random Forest,global,feature_set_form,1.7746110258076608,2.6517586224083325,0.5046630826908495,2.180818570555895,2.148945904188327,13096,0.1729729729729729,0.1729729729729729,0.2291891891891892,0.2291891891891892,0.311891891891892,0.311891891891892,0.4473593890721444,0.4559194569293945,0.4853482733885295,0.4444444444444444,0.004524886877828,3.206256873285188,884,,0.0,3.4487255257156773,427,,0.0,4.0872057206086,90,7.783783783783784,17.89189189189189,10.108108108108109,37
validation,Random Forest,global,feature_set_full_linear,1.7809201115945543,2.654410182505768,0.5030790497280033,2.180818570555895,2.1635675971000747,13096,0.1675675675675675,0.1675675675675675,0.2291891891891891,0.2291891891891891,0.3210810810810811,0.3210810810810811,0.4413742477316361,0.4548654931492444,0.4878559791836224,0.3333333333333333,0.004524886877828,3.203996201443771,884,,0.0,3.4425491561776353,427,,0.0,4.024253931224185,90,7.594594594594595,17.89189189189189,10.297297297297296,37
validation,HistGradientBoosting,global,feature_set_basic,1.8877306150265725,2.7798973654644823,0.2915176686665432,2.180818570555895,2.139617939720061,13096,0.1675675675675675,0.1675675675675675,0.2172972972972973,0.2172972972972973,0.2648648648648649,0.2648648648648649,0.415262853045527,0.4170412180202792,0.4279408026870848,0.5263157894736842,0.0113122171945701,2.8071130991856883,884,0.3333333333333333,0.0023419203747072,3.0681714124955928,427,,0.0,3.603916868163736,90,8.027027027027026,17.89189189189189,9.864864864864863,37
validation,HistGradientBoosting,global,feature_set_form,1.7609307785105448,2.6506165034618587,0.5085823763014385,2.180818570555895,2.109915317522705,13096,0.1837837837837837,0.1837837837837837,0.2205405405405405,0.2205405405405405,0.3145945945945946,0.3145945945945946,0.4480416977664303,0.4563290754181464,0.4869832429296573,0.6875,0.0124434389140271,3.137882927127276,884,,0.0,3.383475097384615,427,,0.0,4.060522284437897,90,7.945945945945946,17.89189189189189,9.945945945945946,37
validation,HistGradientBoosting,global,feature_set_full_linear,1.7786945101000378,2.6598129417693186,0.5031926776695863,2.180818570555895,2.152693960468171,13096,0.1675675675675675,0.1675675675675675,0.227027027027027,0.227027027027027,0.314054054054054,0.314054054054054,0.4431603767589104,0.4522121681301085,0.4842518988987664,0.5,0.0135746606334841,3.2126310964846243,884,0.5,0.0046838407494145,3.4572690186587978,427,,0.0,4.047492441814289,90,8.27027027027027,17.89189189189189,9.62162162162162,37
validation,Ridge,global,feature_set_without_fixture,1.8568470866244695,2.693634069296039,0.487749445996335,2.180818570555895,2.259204551573706,13096,0.1648648648648648,0.1648648648648648,0.212972972972973,0.212972972972973,0.3,0.3,0.4165558443860043,0.4310673982168375,0.4677870741195429,0.5,0.001131221719457,3.1447152765573283,884,,0.0,3.309878068361793,427,,0.0,3.78863794271757,90,7.891891891891892,17.89189189189189,10.0,37
